Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swim,1/3/2025 15:32,FALSE,Pool Swim,"2,300",379,0:49:52,142,166,3,--,--,1:46,1:24,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1133,39,28,--,--,No,00:08.8,28,--,--,--,--,0:40:43,0:51:06,--,--
Running,1/1/2025 10:00,FALSE,Fairfax County Running,3.11,338,0:26:41,153,171,3.2,172,180,8:35,7:34,288,307,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,592",57.2,No,00:43.8,4,62.6,--,--,--,0:26:38,0:26:41,325,461
Running,12/31/2024 13:04,FALSE,Baltimore Running,2,217,0:16:56,152,174,2.9,170,186,8:27,7:21,58,90,1.12,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"2,890",64.4,No,00:01.8,3,78.8,--,--,--,0:16:55,0:17:47,9,85
Pool Swim,12/31/2024 10:50,FALSE,Pool Swim,"2,100",420,0:49:59,127,148,2,--,--,1:59,1:39,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1101,43,26,--,--,No,00:12.6,18,--,--,--,--,0:41:39,0:50:35,--,--
Pool Swim,12/29/2024 7:04,FALSE,Pool Swim,"2,500",500,1:20:55,109,144,1.2,--,--,2:00,1:52,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1416,88,28,--,--,No,00:07.0,50,--,--,--,--,0:50:00,1:22:30,--,--
Running,12/28/2024 10:14,FALSE,Baltimore Running,17,"1,795",2:39:15,151,164,4.7,171,182,9:22,7:40,314,304,1,7.7,7.8,243,53.1% L / 46.9% R,--,--,--,--,0,--,--,--,--,--,--,"26,932",50,No,00:01.9,18,75.2,33,17,43,2:38:53,2:52:51,14,86
Pool Swim,12/27/2024 13:54,FALSE,Pool Swim,"2,100",420,0:47:52,130,154,2.2,--,--,1:55,1:28,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1066,41,26,--,--,No,00:11.7,16,--,--,--,--,0:40:14,0:48:33,--,--
Running,12/26/2024 16:58,FALSE,Baltimore Running,5.25,574,0:47:16,147,158,3.5,170,182,9:00,7:22,98,119,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,044",48.2,No,02:17.2,6,77,--,--,--,0:47:09,0:51:01,-5,87
Running,12/25/2024 9:52,FALSE,Monroe Running,5.01,542,0:44:25,147,163,3.4,173,180,8:52,7:08,132,134,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,724",53.6,No,00:02.3,6,80.6,--,--,--,0:44:17,0:45:10,117,172
Running,12/24/2024 9:36,FALSE,Monroe Running,4.01,436,0:36:05,149,159,3.2,175,183,9:00,8:17,105,124,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,346",50,No,00:05.0,5,75.2,--,--,--,0:35:58,0:37:31,108,165
Pool Swim,12/24/2024 7:05,FALSE,Pool Swim,"2,000",351,0:56:14,118,153,1.5,--,--,1:42,1:20,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,948,37,28,--,--,No,00:09.5,66,--,--,--,--,0:34:02,0:56:53,--,--
Running,12/22/2024 8:09,FALSE,Baltimore Running,18.75,"1,906",2:52:01,149,176,4.6,175,181,9:10,7:37,399,411,0.99,7.3,7.4,243,53.0% L / 47.0% R,--,--,--,--,0,--,--,--,--,--,--,"29,824",44.6,No,07:12.6,19,78.8,32,21,41,2:51:44,3:01:40,-24,96
Running,12/21/2024 7:27,FALSE,Baltimore Running,8.51,896,1:15:40,149,162,3.7,173,180,8:54,7:29,157,199,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"13,090",53.6,No,04:27.3,9,77,--,--,--,1:15:27,1:19:52,-24,86
Running,12/20/2024 7:07,FALSE,Baltimore Running,5,545,0:44:11,151,164,3.6,172,181,8:50,7:44,110,125,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,640",51.8,No,00:01.8,6,75.2,--,--,--,0:44:04,0:46:16,-1,91
Pool Swim,12/19/2024 11:59,FALSE,Pool Swim,"1,900",380,0:49:06,128,150,2.1,--,--,1:57,1:44,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1037,43,28,--,--,No,00:14.1,30,--,--,--,--,0:37:03,0:49:43,--,--
Indoor Cycling,12/18/2024 8:13,FALSE,80': 3x (20' building(aerobic)+,21.25,710,1:20:01,134,150,3,--,--,15.9,18.6,--,--,--,--,--,--,--,93,127,131,--,53.8,132,126,166,7424,--,--,--,73.4,No,00:00.8,11,80.6,--,--,--,1:19:56,1:22:04,--,--
Pool Swim,12/17/2024 15:19,FALSE,Pool Swim,"1,200",240,0:31:07,125,156,2,--,--,2:00,1:33,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,655,44,27,--,--,No,00:08.6,24,--,--,--,--,0:23:57,0:32:10,--,--
Running,12/17/2024 7:48,FALSE,Baltimore - 5 miler with alternating tempo p,5,544,0:43:52,153,169,3.7,173,184,8:46,7:42,76,121,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,612",59,No,00:01.9,6,73.4,--,--,--,0:43:41,0:45:13,-5,79
Running,12/15/2024 10:41,FALSE,Baltimore Running,15.5,"1,626",2:27:20,148,162,4.4,173,181,9:30,7:54,335,302,0.97,7.8,7.7,218,52.4% L / 47.6% R,--,--,--,--,0,--,--,--,--,--,--,"25,254",48.2,No,04:47.9,16,77,32,17,42,2:26:56,2:45:42,7,96
Running,12/14/2024 8:34,FALSE,Baltimore Running,5.08,561,0:43:10,156,181,4,173,186,8:30,7:32,299,312,1.1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,460",46.4,No,00:39.1,6,60.8,--,--,--,0:42:33,0:43:10,182,325
Pool Swim,12/13/2024 14:00,FALSE,Pool Swim,"1,700",275,0:43:03,135,160,2.5,--,--,1:49,1:29,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,785,39,25,--,--,No,00:12.6,20,--,--,--,--,0:30:47,0:43:38,--,--
Indoor Cycling,12/12/2024 8:21,FALSE,Pyramid of Pain (Power),14.56,480,0:56:00,134,159,2.8,--,--,15.6,32,--,--,--,--,--,--,--,100,130,135,--,40.2,140,122,216,5546,--,--,--,73.4,No,00:00.5,27,80.6,--,--,--,0:55:58,0:56:00,--,--
Indoor Cycling,12/11/2024 11:02,FALSE,"75': Long, hard WU. 3 x (10' IM",21.21,781,1:15:00,145,161,3.5,--,--,17,19.2,--,--,--,--,--,--,--,88,97,155,--,71.3,166,152,206,6604,--,--,--,75.2,No,00:00.4,20,86,--,--,--,1:14:59,1:15:00,--,--
Running,12/10/2024 7:02,FALSE,Baltimore Running,4.26,471,0:38:16,149,166,3.4,171,177,8:59,7:42,86,107,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,556",57.2,No,02:15.6,5,77,--,--,--,0:38:09,0:40:12,-5,83
Running,12/8/2024 7:54,FALSE,College Park Running,5.9,663,0:53:24,160,179,3.8,168,174,9:03,7:56,348,352,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,976",51.8,No,08:33.7,6,68,--,--,--,0:53:22,0:54:54,70,205
Running,12/7/2024 7:44,FALSE,Baltimore Running,14.51,"1,535",2:14:47,154,169,4.5,173,183,9:17,8:16,384,374,0.99,7.6,7.6,237,52.3% L / 47.7% R,--,--,--,--,0,--,--,--,--,--,--,"23,072",48.2,No,04:50.6,15,77,34,18,41,2:14:27,2:21:53,-10,122
Running,12/6/2024 7:47,FALSE,Baltimore - 5 mile tempo run @ varying paces,5,535,0:44:19,151,167,3.4,172,179,8:51,7:41,99,134,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,624",44.6,No,00:01.1,6,73.4,--,--,--,0:44:14,0:46:19,-14,88
Indoor Cycling,12/5/2024 6:45,FALSE,60': Tabatas: 4 rounds of 5 x 30,16.73,586,1:00:01,142,158,3.2,--,--,16.7,20.7,--,--,--,--,--,--,--,97,129,147,--,51,152,142,217,5817,--,--,--,75.2,No,00:01.3,59,80.6,--,--,--,0:59:54,1:00:01,--,--
Indoor Cycling,12/4/2024 7:16,FALSE,51': Aerobic / Active Recovery w,11.16,392,0:40:00,146,162,2.9,--,--,16.7,26,--,--,--,--,--,--,--,92,124,144,--,32.5,148,142,352,3691,--,--,--,71.6,No,00:00.4,13,80.6,--,--,--,0:39:56,0:43:30,--,--
Running,12/3/2024 6:08,FALSE,Baltimore Running,4.25,467,0:37:00,152,176,3.7,174,183,8:42,7:22,110,134,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,444",46.4,No,02:29.0,5,77,--,--,--,0:36:54,0:38:24,-5,90
Running,12/1/2024 8:40,FALSE,Baltimore Running,7,781,1:03:32,153,163,3.9,173,179,9:04,7:46,88,136,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"10,954",48.2,No,00:02.0,8,75.2,--,--,--,1:03:30,1:04:06,2,91
Indoor Cycling,11/30/2024 10:48,FALSE,75': 4 x (5' low tempo + 5' low,21.57,781,1:15:00,150,166,3.7,--,--,17.3,23.8,--,--,--,--,--,--,--,90,124,158,--,73.8,164,152,190,6828,--,--,--,73.4,No,00:00.4,18,84.2,--,--,--,1:14:58,1:17:15,--,--
Running,11/29/2024 7:13,FALSE,Monroe Running,4.01,440,0:35:41,151,166,3.4,174,179,8:54,8:10,86,83,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,192",48.2,No,00:03.5,5,75.2,--,--,--,0:35:38,0:35:58,115,163
Running,11/28/2024 8:31,FALSE,West Windsor Running,3.15,336,0:24:24,160,173,3.6,176,181,7:46,7:06,92,106,1.18,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,290",51.8,No,01:02.0,4,62.6,--,--,--,0:24:24,0:24:24,93,136
Running,11/27/2024 11:40,FALSE,Monroe Running,4,434,0:33:33,155,186,3.7,174,186,8:23,7:13,109,99,1.1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,852",60.8,No,00:01.1,5,78.8,--,--,--,0:33:26,0:34:05,117,161
Running,11/25/2024 16:27,FALSE,Baltimore Running,6.46,720,0:59:00,155,172,3.9,170,177,9:08,7:54,92,142,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"10,072",60.8,No,04:09.4,7,75.2,--,--,--,0:58:48,1:02:01,-8,84
Running,11/22/2024 11:17,FALSE,Baltimore Running,3.26,346,0:26:55,153,166,3.3,172,181,8:16,7:16,93,99,1.13,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,638",46.4,No,00:52.6,5,80.6,--,--,--,0:26:53,0:28:51,22,84
Indoor Cycling,11/21/2024 6:03,FALSE,"60': 20 x 20 Efforts @ or above""",16.46,548,1:00:02,132,147,2.9,--,--,16.5,21.6,--,--,--,--,--,--,--,91,126,139,--,45.5,141,131,237,5484,--,--,--,78.8,No,00:02.4,51,84.2,--,--,--,1:00:01,1:00:02,--,--
Running,11/20/2024 17:23,FALSE,Baltimore Running,4.01,437,0:35:17,151,170,3.5,169,180,8:49,7:49,40,94,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,988",64.4,No,00:01.8,5,77,--,--,--,0:35:14,0:36:48,4,77
Running,11/19/2024 6:14,FALSE,Baltimore Running,4,431,0:33:16,158,175,3.6,171,179,8:19,7:12,76,90,1.13,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,712",62.6,No,00:01.4,5,78.8,--,--,--,0:33:14,0:34:33,-3,79
Indoor Cycling,11/17/2024 7:47,FALSE,70': Aerobic Workout (4 x 10' Ae,19.55,690,1:10:02,142,155,3.2,--,--,16.7,17.8,--,--,--,--,--,--,--,90,101,144,--,57.3,147,143,167,6354,--,--,--,73.4,No,00:01.9,18,84.2,--,--,--,1:09:59,1:12:35,--,--
Running,11/16/2024 7:27,FALSE,Baltimore Running,8.01,906,1:11:38,156,170,4.4,172,179,8:57,6:49,165,185,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"12,304",62.6,No,00:02.1,9,78.8,--,--,--,1:11:33,1:13:11,-4,82
Running,11/14/2024 6:03,FALSE,Baltimore Running,3.78,418,0:34:00,153,170,3.3,171,179,9:00,8:06,114,115,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,822",55.4,No,06:59.2,4,78.8,--,--,--,0:34:00,0:35:06,3,87
Running,11/12/2024 16:17,FALSE,Baltimore Running,4,446,0:34:51,159,180,3.6,170,177,8:42,6:41,89,136,1.09,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,938",60.8,No,00:01.3,5,80.6,--,--,--,0:34:49,0:35:24,--,83
Running,11/10/2024 6:48,FALSE,Baltimore Running,7.01,763,1:00:30,150,171,4.2,173,180,8:38,7:14,133,141,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"10,470",55.4,No,00:01.9,8,77,--,--,--,1:00:27,1:02:27,-1,87
Running,11/8/2024 17:27,FALSE,Baltimore Running,3.11,328,0:26:11,140,158,3.2,168,176,8:25,7:21,27,64,1.14,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,424",71.6,No,00:58.0,4,82.4,--,--,--,0:26:08,0:28:16,5,67
Running,11/5/2024 16:34,FALSE,Baltimore Running,4.01,443,0:34:28,163,180,3.6,171,178,8:36,7:41,37,73,1.1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,904",77,No,00:03.5,5,82.4,--,--,--,0:34:19,0:36:39,-7,37
Running,11/3/2024 8:03,FALSE,Baltimore Running,3,332,0:26:40,153,169,3.1,170,177,8:53,7:29,106,92,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,562",53.6,No,00:01.9,4,71.6,--,--,--,0:26:40,0:27:45,4,85
Running,10/31/2024 6:26,FALSE,Baltimore Running,3,330,0:26:07,146,164,3.2,171,178,8:42,7:46,33,91,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,496",66.2,No,00:01.5,4,80.6,--,--,--,0:26:05,0:27:03,-3,81
Running,10/29/2024 17:04,FALSE,Baltimore Running,2.27,233,0:20:01,146,170,2.7,169,177,8:50,7:28,27,89,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,426",69.8,No,02:20.4,3,78.8,--,--,--,0:19:51,0:23:06,10,83
Running,10/27/2024 7:57,FALSE,Arlington County Running,26.77,"2,911",4:05:45,162,172,5,170,180,9:11,7:03,735,681,1.02,7.2,7.5,242,50.8% L / 49.2% R,--,--,--,--,0,--,--,--,--,--,--,"41,320",55.4,No,0:20:27,9,73.4,36,25,43,4:05:41,4:05:45,12,243
Running,10/26/2024 6:52,FALSE,Baltimore Running,2.7,296,0:23:31,152,167,3.1,171,177,8:42,7:27,40,85,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,028",64.4,No,06:05.3,3,78.8,--,--,--,0:23:25,0:23:31,8,81
Running,10/24/2024 6:03,FALSE,Baltimore Running,3.01,325,0:26:34,144,161,3,171,178,8:50,7:33,95,110,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,558",71.6,No,00:03.3,4,82.4,--,--,--,0:26:29,0:27:48,-5,74
Running,10/23/2024 6:55,FALSE,"Baltimore - 4 mile tempo run, middle 2 @MP",4,439,0:36:09,143,163,3.2,169,176,9:02,7:39,51,95,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,096",64.4,No,00:01.0,6,80.6,--,--,--,0:36:05,0:36:37,5,85
Running,10/21/2024 7:06,FALSE,Baltimore Running,3,328,0:26:48,142,162,3.1,169,177,8:55,7:54,36,90,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,556",62.6,No,00:02.2,4,77,--,--,--,0:26:41,0:28:28,-7,81
Running,10/20/2024 7:48,FALSE,Baltimore Running,2.31,246,0:20:01,152,172,2.8,171,179,8:39,7:46,43,88,1.09,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,422",57.2,No,02:47.2,3,77,--,--,--,0:20:00,0:20:18,9,86
Running,10/19/2024 6:09,FALSE,Baltimore - 10 Miles @ Goal MP,10,"1,118",1:28:53,156,178,4.5,171,179,8:53,7:46,179,183,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"15,192",57.2,No,00:01.0,11,78.8,--,--,--,1:28:49,1:29:40,-1,83
Running,10/17/2024 5:52,FALSE,Baltimore - 4 miler with middle two Miles Ha,4,441,0:35:03,154,166,3.4,172,179,8:45,7:39,87,125,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,042",57.2,No,00:02.4,5,75.2,--,--,--,0:34:56,0:35:03,-11,80
Running,10/16/2024 7:30,FALSE,Baltimore Running,3.5,391,0:32:20,146,166,3.1,170,177,9:14,7:23,92,105,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,510",55.4,No,04:49.9,4,77,--,--,--,0:32:14,0:33:25,-3,83
Running,10/15/2024 5:29,FALSE,Baltimore - 10x400 @ tempo pace/200 AR Copy,5.75,637,0:52:36,150,168,3.6,170,181,9:09,7:30,120,126,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,922",59,No,00:11.2,23,80.6,--,--,--,0:52:24,0:53:28,4,85
Running,10/13/2024 6:37,FALSE,Baltimore Running,2.25,247,0:20:01,143,157,2.9,169,234,8:53,7:50,32,72,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,390",66.2,No,02:10.5,3,78.8,--,--,--,0:19:57,0:20:23,11,68
Running,10/12/2024 6:35,FALSE,Baltimore Running,20,"2,110",3:03:09,155,165,5,173,183,9:09,7:47,449,451,1.01,7.1,7.4,239,50.8% L / 49.2% R,--,--,--,--,0,--,--,--,--,--,--,"31,338",62.6,No,00:02.0,21,78.8,34,23,45,3:02:55,3:18:27,-7,83
Running,10/10/2024 5:42,FALSE,Baltimore - 6 miles with a progression of th,6,657,0:53:16,149,166,3.8,171,181,8:52,7:28,89,109,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,138",59,No,00:01.9,7,80.6,--,--,--,0:53:08,0:54:32,-1,81
Running,10/9/2024 6:34,FALSE,Baltimore Running,5.01,553,0:48:23,142,158,3.1,168,174,9:40,7:56,61,104,0.99,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,118",62.6,No,0:00:03,6,78.8,--,--,--,0:48:19,0:48:39,-1,81
Running,10/8/2024 5:32,FALSE,Baltimore - 5 x 1000m @ 10k Copy,6,644,0:53:55,150,166,3.7,168,184,8:59,6:28,109,126,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,064",60.8,No,01:26.1,13,78.8,--,--,--,0:53:47,0:54:42,-1,79
Running,10/6/2024 7:58,FALSE,Baltimore Running,6.21,693,0:58:25,147,159,3.5,168,174,9:25,8:11,54,103,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,818",66.2,No,01:59.8,7,80.6,--,--,--,0:58:24,1:00:08,-1,81
Multisport,10/5/2024 9:04,FALSE,Louisa County Multisport,31.16,"1,649",3:05:16,--,170,4.8,--,--,10.1,--,"1,289","1,240",--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,No,--:--:--,5,--,--,--,--,--:--:--,3:05:16,80,220
Running,10/3/2024 5:11,FALSE,Baltimore - 7.5 miler Playing with Tempo thr,7.5,823,1:06:04,152,174,4.2,170,178,8:48,7:17,84,135,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"11,278",69.8,No,00:02.5,9,82.4,--,--,--,1:05:49,1:07:10,-4,79
Running,10/2/2024 6:40,FALSE,Baltimore Running,4.01,427,0:35:01,148,160,3.3,169,176,8:44,7:30,54,120,1.09,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,944",66.2,No,00:03.2,5,80.6,--,--,--,0:34:57,0:35:58,-13,78
Running,10/1/2024 5:21,FALSE,Baltimore - 8x600@tempo/200 recoveries Copy,6.02,651,0:53:17,151,162,3.8,170,181,8:51,7:08,80,134,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,052",68,No,00:22.6,19,84.2,--,--,--,0:52:51,0:56:09,1,81
Running,9/29/2024 7:15,FALSE,Baltimore Running,2.51,259,0:21:11,144,159,2.9,169,176,8:27,7:35,20,62,1.13,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,590",71.6,No,04:18.4,3,80.6,--,--,--,0:21:11,0:21:48,-8,63
Running,9/28/2024 5:56,FALSE,Baltimore - Marathon 20-miler,20.01,"2,116",3:07:42,158,169,5,170,178,9:23,7:42,399,476,0.99,7.3,7.4,240,50.4% L / 49.6% R,--,--,--,--,0,--,--,--,--,--,--,"31,600",73.4,No,00:03.6,21,82.4,35,20,42,3:07:06,3:23:04,-52,78
Running,9/26/2024 5:27,FALSE,Baltimore - 6 mi with 4 miles at tempo,6.2,672,0:55:06,144,159,3.7,171,179,8:53,7:39,61,114,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,434",73.4,No,01:54.8,7,80.6,--,--,--,0:54:58,0:56:29,1,79
Indoor Cycling,9/25/2024 6:44,FALSE,46': 2 x 6' @ IM watts,12.66,436,0:46:01,132,148,2.5,--,--,16.5,18,--,--,--,--,--,--,--,89,116,141,--,36,141,137,171,4132,--,--,--,80.6,No,00:00.5,18,86,--,--,--,0:46:01,0:46:01,--,--
Running,9/24/2024 5:29,FALSE,Baltimore - 10x400@1M/200 AR,6,661,0:52:21,155,171,4,172,187,8:44,6:53,71,126,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,956",68,No,01:06.5,23,82.4,--,--,--,0:52:12,0:53:19,-2,78
Running,9/22/2024 6:28,FALSE,Baltimore Running,2.25,238,0:20:15,135,162,2.9,168,176,9:00,7:14,50,93,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,388",71.6,No,02:20.4,3,86,--,--,--,0:20:15,0:20:42,-3,81
Running,9/21/2024 6:53,FALSE,Baltimore - Marathon 18-miler,18,"1,967",2:48:12,160,176,5,172,183,9:21,8:03,360,417,0.99,7.3,7.3,246,50.7% L / 49.3% R,--,--,--,--,0,--,--,--,--,--,--,"28,720",73.4,No,00:01.7,19,82.4,35,18,44,2:47:51,2:57:58,-9,116
Running,9/19/2024 5:10,FALSE,Baltimore - 5 miler with alternating tempo p,5.17,574,0:45:01,155,175,4,172,179,8:43,7:29,43,99,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"7,710",73.4,No,01:32.1,6,82.4,--,--,--,0:44:59,0:45:08,1,77
Indoor Cycling,9/18/2024 6:40,FALSE,50': Long Warm-up + 2 x (5' IM +,14.43,537,0:50:01,152,174,3.4,--,--,17.3,20.8,--,--,--,--,--,--,--,88,122,159,--,52.3,167,158,186,4431,--,--,--,82.4,No,00:00.7,15,86,--,--,--,0:49:55,0:50:12,--,--
Running,9/17/2024 5:51,FALSE,Baltimore Running,3.96,435,0:35:01,152,167,3.5,170,182,8:51,7:20,58,107,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,948",73.4,No,04:56.5,6,82.4,--,--,--,0:35:00,0:35:25,2,77
Multisport,9/15/2024 8:37,FALSE,2024 USAT Nationals - Sprint,16.19,861,1:21:51,--,175,4.1,--,--,11.7,--,451,481,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,No,--:--:--,5,--,--,--,--,--:--:--,1:21:50,-89,-20
Running,9/12/2024 6:12,FALSE,Baltimore Running,1.2,129,0:10:01,156,174,2.3,171,178,8:23,7:30,35,74,1.12,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"1,710",71.6,No,01:39.8,2,84.2,--,--,--,0:10:00,0:10:01,10,79
Indoor Cycling,9/12/2024 5:21,FALSE,45': Recovery rpm pyramid,12.29,401,0:45:00,136,145,2.4,--,--,16.4,17.7,--,--,--,--,--,--,--,89,126,129,--,30.7,134,127,144,4023,--,--,--,82.4,No,00:00.4,12,86,--,--,--,0:44:55,0:45:00,--,--
Indoor Cycling,9/11/2024 7:12,FALSE,"60': Aerobic flush with 12 x 30"",16.37""",551,1:00:00,130,143,2.7,--,--,16.4,17.8,--,--,--,--,--,--,--,89,123,135,--,45.4,140,132,175,5361,--,--,--,80.6,No,00:00.4,30,84.2,--,--,--,0:59:55,1:00:36,--,--,
Pool Swim,9/10/2024 16:42,FALSE,Pool Swim,"2,200",364,0:46:31,133,162,2.5,--,--,1:46,1:26,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1128,39,29,--,--,No,00:05.6,38,--,--,--,--,0:38:44,0:47:00,--,--
Running,9/10/2024 5:44,FALSE,Baltimore Running,3.5,393,0:30:15,148,161,3.6,172,194,8:38,6:45,37,86,1.09,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,172",66.2,No,04:31.8,4,78.8,--,--,--,0:30:10,0:31:13,1,79
Running,9/8/2024 16:22,FALSE,Baltimore - 6 miles with middle three miles,6,655,0:53:40,147,169,3.8,170,179,8:57,7:40,133,182,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,168",77,No,00:01.0,7,82.4,--,--,--,0:53:33,0:54:28,-1,75
Running,9/7/2024 14:17,FALSE,James City County - Transition run with specific tar,2.25,247,0:20:01,157,163,2.9,176,182,8:53,7:41,18,21,1.01,7.7,7.9,224,52.6% L / 47.4% R,--,--,--,--,0,--,--,--,--,--,--,"3,474",84.2,No,00:01.4,5,98.6,33,22,38,0:19:53,0:21:15,28,47
Cycling,9/7/2024 11:59,FALSE,James City County Cycling,39,"1,175",2:01:16,152,166,4,--,--,19.3,27,416,397,--,--,--,--,--,92,124,152,47% L / 53% R,116.7,157,140,644,10731,--,--,--,78.8,No,0:13:55,8,89.6,33,19,39,2:01:09,2:05:06,15,87
Running,9/5/2024 6:21,FALSE,Baltimore Running,2.01,219,0:16:38,153,162,3,173,185,8:17,6:58,75,87,1.12,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"2,884",66.2,No,00:02.6,3,82.4,--,--,--,0:16:31,0:17:03,8,84
Indoor Cycling,9/5/2024 5:17,FALSE,60' 20-30s keep a bucket close b,15.71,555,0:57:01,137,155,3,--,--,16.5,19.3,--,--,--,--,--,--,--,88,126,148,--,52,153,141,231,5054,--,--,--,80.6,No,0:00:30,46,86,--,--,--,0:56:45,0:58:04,--,--
Running,9/4/2024 16:50,FALSE,Baltimore Running,3.12,344,0:27:46,149,166,3.2,168,174,8:55,7:40,46,99,1.08,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,632",78.8,No,01:07.1,4,82.4,--,--,--,0:27:45,0:28:09,1,76
Pool Swim,9/3/2024 15:40,FALSE,Pool Swim,"1,800",295,0:40:40,123,153,2.1,--,--,1:48,1:25,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,917,40,28,--,--,No,00:02.1,21,--,--,--,--,0:32:20,0:41:17,--,--
